Horodateur,Numéro de participant,Nombre d'heures de vol,Type d'aéronef principalement piloté,La disposition de l'application est intuitive.,L'application est réactive.,Le design visuel de l'application est attrayant.,Les informations fournies par l'application sont pertinentes.,L'application présente clairement les scores et les métriques de performance.,Je comprends comment les scores sont calculés et ce qu'ils représentent.,Les retours fournis sont détaillés et spécifiques.,L'application a fourni des retours utiles sur ma performance lors de l'expérience.,L'application m'a aidé à identifier les domaines où je pourrais améliorer ma performance.,Les retours fournis par l'application sont pertinents pour comprendre ma performance lors de l'expérience.,Une application similaire serait utile pour la formation PPL.,Une application similaire aiderait à identifier les domaines où les pilotes en formation (PPL ou autre) peuvent s'améliorer.,Une application similaire fournirait des retours utiles pour les pilotes en formation (PPL ou autre),Une application similaire permettrait d'améliorer la qualité de formation des pilotes (PPL ou autre).,Il y a des métriques supplémentaires que j'aimerais voir dans l'application (veuillez spécifier dans la section ouverte ci-dessous).,L'application couvre les aspects critiques de ma performance lors de l'expérience.,"Globalement, je suis satisfait de l'application.",Je recommanderais cette application à d'autres pilotes.,Y a-t-il des fonctionnalités ou des métriques que vous aimeriez voir ajoutées à l'application ?,Pensez-vous que l'application pourrait-elle être améliorée pour mieux répondre à vos besoins de formation ? Précisez.,D'autres commentaires ou retours ?
02/07/2024 14:58:43,P029,140,DR400,6,4,6,6,7,6,5,6,5,6,3,5,5,5,5,6,6,5,"métriques à ajouter:
 -pente de la finale
-parallélisme de la vent arrière par rapport à la piste
-perpendicularité de la base et du vent traversier ","-pourquoi pas l'utiliser dans d'autres domaines de la formation (maniabilité, navigation, intégration au tour de piste, ...) ",
02/07/2024 16:26:24,P031,"14,90 heures au moment du questionnaire. 0 au début de l'expérience et approximativement 5 heures à la fin de l'expérience.",Aquila,6,3,2,7,7,5,6,6,3,5,7,7,7,7,4,5,5,4,"Une fonctionnalité pour afficher la trajectoire ""parfaite"" sur la représentation 3D du parcourt. C'est-à-dire une ligne ou plan représentant la bonne altitude à avoir à chaque instant afin de voir l'écart graphiquement. Cela parait plus intuitif à première vu.
",Je n'ai pas eu le temps de lire tout l'article et cela doit m’empêcher de bien comprendre les courbes de positions qui sont exprimés avec des densités. Je n'ai pas trouvé ça simple à comprendre.,"Je pense qu'avoir une telle application serait un gros plus pour notre formation. Pouvoir voir nos performances après un vol et les points à améliorer devrait permettre de s'améliorer. Lorsque l'on pilote, on a du mal à se rendre compte de nos performances puisqu'on reste très concentré. "
02/07/2024 21:26:29,P025,120,DR400,6,6,6,7,6,4,7,7,5,7,7,7,7,7,5,6,6,6,"Peut être ajouter la pente optimale d'approche IFR comme comparaison avec notre pente à nous pour être plus parlant sur la descente. Eventuellement taux de descente aussi ft/min et la pente. Eventuellement des graphiques par phase de vol (climb, cruise et descent) ou chaque graphique possède sa consigne (speed, alt, vz ...) et notre profil via simulateur. Car les objectifs peuvent être très différents entre les High speed et Low speed.",Peut-être moins d'informations avec plus de documentation sur ce que représente chaque graphique.  Tournure de phrase étrange je trouve pour la performance par rapport à l'échantillon. Peut-être qu'un classement est plus parlant qu'un % supérieur par rapport à l'échantillon. Personnellement j'ai du mal à me visualiser les gaussiennes et les conclusions que l'on peut en tirer. Peut-être qu'un autre indicateur serait plus parlant à première vue mais je ne sais pas lequel. ,"Très bonnes visualisations, très utile pour une formation de pilote je pense! Merci pour ton feedback!"
04/07/2024 12:09:39,P023,55,Cessna 150,6,5,6,7,7,4,6,6,5,7,5,5,5,4,2,5,6,6,,Plus de précisions quant à la définition du mean score et de la manière dont est calculée la performance ,
05/07/2024 19:07:59,P024,90,Robin DR400,5,6,4,6,5,2,5,6,7,6,7,7,7,5,4,6,6,7,Accélération ( permettrait de juger la douceur du pilotage) ,Comparaison trace idéale/ trace réelle ,"Expérience très intéressante, je vous remercie de me l’avoir proposé "
05/07/2024 22:34:04,P019,170,C152,5,7,5,7,6,6,7,7,7,7,7,7,7,7,4,6,6,6,Peut être une partie plus spécifique sur la phase approche avec un plan à 3° pour mettre l'accet sur les plans forts et faibles que l'on peut faire en formation PPL.,"Pas spéciquement, elle est déjà plus précise que l'application que j'utilisais lors de ma formation (je ne me souviens plus le nom mais à la fin tu avais une trace GPS sur Google Maps en 3D, donc pas de mesure de performance mais juste la trajectographie)","Altitude en mètres dans l'application, passer en ft si possible
pointillé peut être pas à la bonne valeur pour IFR ? 

Je n'ai pas compris l'histogramme et la gaussienne pour time métrique. SI on n'est pas au bon endroit, on va forcément ne pas être au bon moment ^^""
Merci pour la publication :) 
Guillaume"
09/07/2024 08:24:21,P002,160,Piper J3,5,7,5,6,6,5,6,6,5,5,5,5,5,5,7,6,6,6,,,
17/07/2024 20:08:39,P001,220,SEP/MEP,5,6,5,5,5,5,5,5,6,6,3,5,5,5,4,5,5,4,,,
18/07/2024 10:44:02,P017,100,DR400,7,4,5,6,6,5,7,6,6,4,7,7,7,7,7,2,6,6,Auto évaluation de la fatigue/qualité de sommeil avant chaque session (aussi questionnaire de santé globale). ,Mettre explications des metrics dans l’application (pas juste dans le mail). La trajectoire plotly 3D n’est pas forcément bien visible sur mobile. ,Merci pour l’étude !
20/07/2024 22:53:08,P012,50,Aquila AT01,6,6,6,5,6,7,6,4,6,6,7,7,7,3,2,4,6,6,,,
